Station Number5	Station Name	Daily Precip Sum in.	Multi-Day Precip in.	Total Precip in.	Daily Snow Sum in.	# of Reports	Latitude	Longitude
 GA-GN-5	St. Simons 1.1 SW	28.04		28.04	0.0	93	31.164127	-81.396439
 GA-GN-7	Jekyll Island 0.6 E	29.39	1.50	30.89	0.0	287	31.0701656341553	-81.410400390625
 GA-GN-18	Brunswick 7.9 NNW	19.25	2.00	21.25	0.0	22	31.2526	-81.50842

