FIPS,COUNTY,STATE,ADDRESS,DROPBOXES NAME,TIME & INSTRUCTIONS,ObjectId,x,y
13095,Dougherty,GA,"222 Pine Ave. Albany, GA 31701",Government Center,"Dropbox outside 24/7, or may drop off inside the office",130,-84.152496971052,31.5777309850457
13095,Dougherty,GA,"2004 Stratford Dr, Albany, GA 31705 Albany, GA 31705",Tallulah Massey Library,"Outside, 24/7",131,-84.0999959987752,31.57060800161
13095,Dougherty,GA,"2114 Habersham Road Albany, GA 31701",Southside Branch Library,"Outside, 24/7",132,-84.1713499669204,31.5496710133181
13095,Dougherty,GA,"2507 Dawson Road Albany, GA 31707",Northwest Library,"Outside, 24/7",133,-84.2110319917708,31.611397988631
13097,Douglas,GA,"6100 Hwy 5 Douglasville, GA 30135",Dog River Library,Outside but within gate which is open daily ""8 am to dark"",134,-84.7491200001973,33.7501800003293
13097,Douglas,GA,"5000 Hwy 92 Douglasville, GA 30135",Boundary Water Aquatic Center,Outside but within gate which is open daily ""from 7 am until dark"",135,-84.7491200001973,33.7501800003293
13097,Douglas,GA,"2105 Mack Rd Douglasville, GA 30135",Deer Lick Park,Outside but within gate which is open daily ""7 am-dark"",136,-84.7491200001973,33.7501800003293
13097,Douglas,GA,"6754 W. Church Street Douglasville, GA 30134",Old Courthouse,"Outside, 24/7",137,-84.7505099724196,33.74908001795
13097,Douglas,GA,"8700 Hospital Drive Douglasville, GA 30134",Douglas County Courthouse,"One outside the courthouse 24/7, one inside the building outside of Registrar's office (M-F, 8-5)",138,-84.7300499983057,33.7429600134026
13097,Douglas,GA,"6200 Fairburn Road Douglasville, GA 30134",Douglas County Government Annex,"Outside, 24/7",139,-84.7345599704267,33.7505256571651
13097,Douglas,GA,"6810 Selman Drive Douglasville, GA 30134",Douglas County Public Library,"Outside, 24/7",140,-84.7522099900773,33.7442900118671
13097,Douglas,GA,"7100 Turner Drive Lithia Springs, GA 30122",Lithia Springs Public Library,"Outside, 24/7",141,-84.6588000002732,33.7822000002676
13097,Douglas,GA,"8830 Gurley Road Douglasville, GA 30134",Hunter Park,Outside but gated park hours are M-F 8-5,142,-84.7716272204706,33.7406303668246
13097,Douglas,GA,"7775 Malone Street Douglasville, GA 30134",Jesse Davis Park,"Outside but gated park hours are M-Sat. 8-8:30, Sun. 1-8:30",143,-84.7470599808928,33.7654800075309
13099,Early,GA,"17 McDonald Avenue Blakely, GA 39823",Office Building,"Outside on west side of building, 24/7",144,-84.9332499621108,31.3784799872014
13101,Echols,GA,"110 GA-94 Statenville, GA 31648",Registrar's Office,outside Registrar's office in courthouse building 24/7,145,-83.0274100001406,30.7034299996301
13103,Effingham,GA,"284 GA Highway 119 S Springfield, GA 31329",Office Building,"outside in front of building 24/7, and just inside building door 8:30-5",146,-81.3165399625325,32.3695599905752
13105,Elbert,GA,"45 Forest Avenue Elberton, GA 30635",Registrar's Office,"on the wall in entryway to building, outside entrance to Registrar's office, 24/7",147,-82.8708000401438,34.1109999942634
13107,Emanuel,GA,"105 South Main St Swainsboro, GA 30401",Elections Office,"Next to tag office, M-F 8-12, 1-5, but during early voting period (10/12 to 30) office open 8-5 Note: This Dropbox may not be open 24/7",148,-84.9342599811039,34.3675400007548
13109,Evans,GA,"201 Freeman Street, Suite 10 Claxton, GA 30417",Courthouse,"Outside, 24/7",149,-84.2873157489052,33.7717943883928
13111,Fannin,GA,"400 W Main St. Blue Ridge, GA 30513",Elections Office,"Outside, 24/7",150,-84.3212799996672,34.8688899996598
13113,Fayette,GA,"140 Stonewall Ave W, Ste 208 Fayetteville, GA 30214",Fayette County Administrative Complex near Heritage Park Fountain,"Not unlocked yet (as of 11/25), unlock date TBD",151,-84.4561599959105,33.4476000180442
13113,Fayette,GA,"201 Willowbend Road Peachtree City, GA 30269",Peachtree City Public Library (back of building on ground floor),"Not unlocked yet (as of 11/25), unlock date TBD",152,-84.5831800002174,33.3988099997283
13113,Fayette,GA,"945 Senoia Road Tyrone, GA 30290",Tyrone Police Department,"Not unlocked yet (as of 11/25), unlock date TBD",153,-84.593850861102,33.4787292328077
13113,Fayette,GA,"961 Highway 85 Connector Brooks Brooks, GA 30205",Brooks Town Hall,"Not unlocked yet (as of 11/25), unlock date TBD",154,-84.4591799953518,33.2899199904737
13115,Floyd,GA,"12 E Fourth Ave, Ste 20 Rome, GA 30161",Elections Office,"Outside, 24/7, Not unlocked yet (as of 11/25), unlock date TBD",155,-85.1714499880995,34.2537800151104
13115,Floyd,GA,"205 Riverside Parkway NE Rome, GA 30161",Sara Hightower Library,"Outside, 24/7, Not unlocked yet (as of 11/25), unlock date TBD",156,-85.1687212763722,34.2594804051961
13117,Forsyth,GA,"1201 Sawnee Drive Cumming, GA 30040",Election Office,No Information Avaliable,157,-84.1391477005027,34.2238234700778
13119,Franklin,GA,"7850 Royston Road Carnesville, GA 30521",Office Building,No Information Avaliable,158,-83.2313600104956,34.367040020256
13121,Fulton,GA,"2231 Campbellton Road Atlanta, GA 30311",Adams Park Library,No Information Avaliable,159,-84.4616779703068,33.7056929818212
13121,Fulton,GA,"3424 Martin Luther King Jr Drive Atlanta, GA 30331",Adamsville/Collier Heights Library,No Information Avaliable,160,-84.6425029754928,33.7101529635349
13121,Fulton,GA,"10 Park Plaza Alpharetta, GA 30009",Alpharetta Branch Library,No Information Avaliable,161,-84.2923000000552,34.0735600003464
