Date,Time,State,City,Address,Zipcode,Ethnicity,Gender,Offence,Description,ObjectId,x,y
9/27/2020 12:00:00 AM,,New York,New York,"W 135th St, New York, 10030",10030,Asian,Male,Physical Assault,https://www.nytimes.com/2020/10/22/nyregion/jazz-pianist-attack-racism.html,1,-73.9550799382335,40.820105043737
10/13/2020 12:00:00 AM,,New York,Brooklyn,"Clinton Ave & Lafayette Ave, Brooklyn, New York, 11205",11205,Asian,Female,Physical Assault,https://nextshark.com/sex-offender-who-pushed-asian-grandmother-on-train-tracks-arrested-in-nyc/,2,-73.967809953345,40.6879800561492
10/19/2020 12:00:00 AM,,New York,Brooklyn,"1975 51st St, Brooklyn, New York, 11204",11204,Asian,Male,Aggravated Harassment,https://nextshark.com/korean-journalist-called-chnky-while-reporting-on-jewish-hasidic-community-in-nyc/,3,-73.9777929679284,40.6246730081612
10/20/2020 12:00:00 AM,,New York,Brooklyn,"Clinton Ave & Lafayette Ave, Brooklyn, New York, 11205",11205,Asian,Male & Female,Physical Assault,https://nextshark.com/family-brooklyn-subway-attack-nearly-killed-grandmother/,4,-73.967809953345,40.6879800561492
12/17/2020 12:00:00 AM,,New York,New York,"W 4th St, New York, 10012",10012,Asian,Female,Aggravated Harassment & Physical Assault,https://nextshark.com/6-suspects-attack-maskless-asian-woman-new-york-subway/,5,-74.0035370041217,40.7362059418638
12/30/2020 12:00:00 AM,,New York,New York,"Hudson St & W 14th St, New York, 10014",10014,Asian,Male,Aggravated Harassment & Physical Assault,https://nextshark.com/manhattan-new-jersey-man-hate-crime-punching-asian-woman/,6,-74.0051699400856,40.740870032639
1/22/2021 12:00:00 AM,,New York,New York,"Canal St & Allen St, New York, 10002",10002,Asian,Male,Physical Assault,https://nextshark.com/manhattan-chinatown-robbery-12/,7,-73.992609909582,40.715120029993
2/2/2021 12:00:00 AM,,New York,New York,"1st Ave & E 14th St, New York, 10009",10009,Asian,Male,Physical Assault,https://nextshark.com/l-subway-rain-man-slashed-face/,8,-73.9822798847876,40.7314000326462
2/11/2021 12:00:00 AM,,New York,Queens,"Broadway China Station - 3212 31st St, Astoria",11106,Asian,Male,Aggravated Harassment,https://nextshark.com/astoria-queens-man-harrass-asian-woman-new-york/,9,-73.9258720001013,40.7617640001329
2/15/2021 12:00:00 AM,,New York,New York,"W 139th St & Lenox Ave, New York, 10037",10037,Asian,Male,Aggravated Harassment & Physical Assault,https://pix11.com/news/local-news/manhattan/asian-man-punched-in-face-on-harlem-street-in-potential-hate-crime-nypd/,10,-73.9390399088795,40.8167000211847
